video_type	frame_index	timestamp
scene	1270	50.852000
scene	1271	50.892000
scene	1272	50.932000
scene	1273	50.972000
scene	1274	51.012000
scene	1275	51.052000
scene	1276	51.092400
scene	1277	51.132400
scene	1278	51.172400
scene	1279	51.212400
scene	1280	51.252400
scene	1281	51.292800
scene	1282	51.332800
scene	1283	51.372800
scene	1284	51.412800
scene	1285	51.452800
scene	1286	51.492800
scene	1287	51.533200
scene	1288	51.573200
scene	1289	51.613200
scene	1290	51.653200
scene	1291	51.693200
scene	1292	51.733600
scene	1293	51.773600
scene	1294	51.813600
scene	1295	51.853600
scene	1296	51.893600
scene	1297	51.933600
scene	1298	51.974000
scene	1299	52.014000
scene	1300	52.054000
scene	1301	52.094000
scene	1302	52.134000
scene	1303	52.174400
scene	1304	52.214400
scene	1305	52.254400
scene	1306	52.294400
scene	1307	52.334400
scene	1308	52.374400
scene	1309	52.414800
scene	1310	52.454800
scene	1311	52.494800
scene	1312	52.534800
scene	1313	52.574800
scene	1314	52.615200
scene	1315	52.655200
scene	1316	52.695200
scene	1317	52.735200
scene	1318	52.775200
scene	1319	52.815200
scene	1320	52.855600
scene	1321	52.895600
scene	1322	52.935600
scene	1323	52.975600
scene	1324	53.015600
scene	1325	53.056000
scene	1326	53.096000
scene	1327	53.136000
scene	1328	53.176000
scene	1329	53.216000
scene	1330	53.256000
scene	1331	53.296400
scene	1332	53.336400
scene	1333	53.376400
scene	1334	53.416400
scene	1335	53.456400
scene	1336	53.496800
scene	1337	53.536800
scene	1338	53.576800
scene	1339	53.616800
scene	1340	53.656800
scene	1341	53.696800
scene	1342	53.737200
scene	1343	53.777200
scene	1344	53.817200
scene	1345	53.857200
scene	1346	53.897200
scene	1347	53.937600
scene	1348	53.977600
scene	1349	54.017600
scene	1350	54.057600
scene	1351	54.097600
scene	1352	54.137600
scene	1353	54.178000
scene	1354	54.218000
scene	1355	54.258000
