timestamp	magnetometer_x	magnetometer_y	magnetometer_z
7.612366e+01	-5.626e+01	2.223e+02	2.987e+02
7.622538e+01	-5.606e+01	2.226e+02	2.992e+02
7.632679e+01	-5.612e+01	2.230e+02	2.989e+02
7.642841e+01	-5.606e+01	2.226e+02	2.985e+02
7.652986e+01	-5.614e+01	2.226e+02	2.992e+02
7.663145e+01	-5.552e+01	2.225e+02	2.986e+02
7.673305e+01	-5.613e+01	2.225e+02	2.984e+02
7.683455e+01	-5.664e+01	2.224e+02	2.992e+02
7.694408e+01	-5.618e+01	2.224e+02	2.982e+02
7.704552e+01	-5.582e+01	2.226e+02	2.987e+02
7.714705e+01	-5.652e+01	2.220e+02	2.984e+02
7.724858e+01	-5.640e+01	2.221e+02	2.991e+02
7.735020e+01	-5.608e+01	2.223e+02	2.993e+02
7.745174e+01	-5.624e+01	2.227e+02	2.991e+02
7.755333e+01	-5.619e+01	2.225e+02	2.988e+02
7.765709e+01	-5.645e+01	2.229e+02	2.990e+02
7.775639e+01	-5.620e+01	2.224e+02	2.990e+02
7.786000e+01	-5.646e+01	2.220e+02	2.987e+02
7.795958e+01	-5.585e+01	2.226e+02	2.988e+02
7.806111e+01	-5.617e+01	2.221e+02	2.985e+02
7.816256e+01	-5.574e+01	2.226e+02	2.994e+02
7.826412e+01	-5.592e+01	2.222e+02	2.987e+02
7.836565e+01	-5.598e+01	2.225e+02	2.991e+02
7.846721e+01	-5.507e+01	2.226e+02	2.989e+02
7.856881e+01	-5.630e+01	2.222e+02	2.989e+02
7.867037e+01	-5.383e+01	2.223e+02	2.986e+02
7.877196e+01	-5.623e+01	2.224e+02	2.986e+02
7.887349e+01	-5.364e+01	2.217e+02	2.984e+02
7.897506e+01	-5.620e+01	2.219e+02	2.988e+02
7.907662e+01	-5.382e+01	2.219e+02	2.981e+02
7.917818e+01	-5.610e+01	2.226e+02	2.980e+02
7.927974e+01	-5.383e+01	2.218e+02	2.972e+02
7.938134e+01	-5.651e+01	2.227e+02	2.980e+02
7.948287e+01	-5.419e+01	2.221e+02	2.963e+02
7.958443e+01	-5.658e+01	2.227e+02	2.986e+02
7.968596e+01	-5.397e+01	2.216e+02	2.958e+02
7.978746e+01	-5.642e+01	2.225e+02	2.984e+02
7.988917e+01	-5.363e+01	2.216e+02	2.968e+02
7.999058e+01	-5.629e+01	2.226e+02	2.983e+02
8.009218e+01	-5.386e+01	2.217e+02	2.962e+02
8.019374e+01	-5.653e+01	2.224e+02	2.983e+02
8.029530e+01	-5.388e+01	2.219e+02	2.962e+02
8.039683e+01	-5.671e+01	2.228e+02	2.985e+02
8.049849e+01	-5.398e+01	2.216e+02	2.964e+02
8.059999e+01	-5.654e+01	2.224e+02	2.980e+02
8.070155e+01	-5.405e+01	2.211e+02	2.952e+02
8.080305e+01	-5.654e+01	2.230e+02	2.987e+02
8.090465e+01	-5.313e+01	2.215e+02	2.965e+02
8.100621e+01	-5.635e+01	2.228e+02	2.983e+02
8.110777e+01	-5.422e+01	2.217e+02	2.955e+02
8.120933e+01	-5.653e+01	2.226e+02	2.989e+02
8.131093e+01	-5.604e+01	2.214e+02	2.965e+02
8.141266e+01	-5.636e+01	2.226e+02	2.994e+02
8.151416e+01	-5.669e+01	2.226e+02	2.984e+02
8.161563e+01	-5.607e+01	2.229e+02	2.968e+02
8.171720e+01	-5.634e+01	2.231e+02	2.988e+02
8.181888e+01	-5.590e+01	2.227e+02	2.973e+02
8.192032e+01	-5.608e+01	2.230e+02	2.984e+02
8.202191e+01	-5.624e+01	2.228e+02	2.983e+02
8.212348e+01	-5.617e+01	2.229e+02	2.985e+02
8.222504e+01	-5.632e+01	2.232e+02	2.986e+02
8.232654e+01	-5.623e+01	2.232e+02	2.983e+02
8.242816e+01	-5.619e+01	2.228e+02	2.985e+02
8.252967e+01	-5.588e+01	2.229e+02	2.990e+02
8.263126e+01	-5.577e+01	2.227e+02	2.982e+02
8.273279e+01	-5.651e+01	2.227e+02	2.986e+02
8.283435e+01	-5.636e+01	2.230e+02	2.992e+02
8.293595e+01	-5.632e+01	2.226e+02	2.990e+02
